X Y  Z
 6.00000000000000E+0000 -9.83707546486449E+0000  1.54015466757370E+0000
 6.00000000000000E+0000 -1.18427534177106E+0001  1.61695861473583E+0000
 6.00000000000000E+0000 -1.39487152681991E+0001  1.69272991581018E+0000
 6.00000000000000E+0000 -1.61599752112121E+0001  1.76321134125881E+0000
 6.00000000000000E+0000 -1.84817981513757E+0001  1.81977693134347E+0000
 6.00000000000000E+0000 -2.09197122385474E+0001  1.85170855860507E+0000
 9.00000000000000E+0000  1.18000000000000E+0001  7.22391280122233E-0001
 9.00000000000000E+0000  1.08839754311094E+0001  8.08529140118092E-0001
 9.00000000000000E+0000  9.92214963377431E+0000  9.16390425706257E-0001
 9.00000000000000E+0000  8.91223254657244E+0000  9.89505115589677E-0001
 9.00000000000000E+0000  7.85181960501048E+0000  1.02327244401933E+0000
 9.00000000000000E+0000  6.73838601637043E+0000  1.04049106889477E+0000
 9.00000000000000E+0000  5.56928074829836E+0000  1.05854879096057E+0000
 9.00000000000000E+0000  4.34172021682270E+0000  1.08279001148646E+0000
 9.00000000000000E+0000  3.05278165877325E+0000  1.11195823604050E+0000
 9.00000000000000E+0000  1.69939617282134E+0000  1.14341893334572E+0000
 9.00000000000000E+0000  2.78341412571820E-0001  1.17672227318330E+0000
 9.00000000000000E+0000 -1.21376608569017E+0000  1.21447347529183E+0000
 9.00000000000000E+0000 -2.78047895886526E+0000  1.26083221379117E+0000
 9.00000000000000E+0000 -4.42552747569911E+0000  1.31847902774026E+0000
 9.00000000000000E+0000 -6.15282841837465E+0000  1.38625141215195E+0000
 9.00000000000000E+0000 -7.96649440818396E+0000  1.46019878304894E+0000
 9.00000000000000E+0000 -9.87084369748374E+0000  1.53668911636927E+0000
 9.00000000000000E+0000 -1.18704104512485E+0001  1.61375684157310E+0000
 9.00000000000000E+0000 -1.39699555427015E+0001  1.68970438273379E+0000
 9.00000000000000E+0000 -1.61744778887272E+0001  1.76028689564967E+0000
 9.00000000000000E+0000 -1.84892263520541E+0001  1.81689757823554E+0000
 9.00000000000000E+0000 -2.09197122385474E+0001  1.84884269849470E+0000
 1.20000000000000E+0001  1.17000000000000E+0001  7.07878738381033E-0001
 1.20000000000000E+0001  1.07867750418218E+0001  7.86755854163125E-0001
 1.20000000000000E+0001  9.82788883573469E+0000  8.87930764909384E-0001
 1.20000000000000E+0001  8.82105831934322E+0000  9.60755210877775E-0001
 1.20000000000000E+0001  7.76388627713218E+0000  9.99165495029125E-0001
 1.20000000000000E+0001  6.65385563281059E+0000  1.02189498572892E+0000
 1.20000000000000E+0001  5.48832345627292E+0000  1.04414918919525E+0000
 1.20000000000000E+0001  4.26451467090836E+0000  1.07113799998288E+0000
 1.20000000000000E+0001  2.97951544627558E+0000  1.10202933225626E+0000
 1.20000000000000E+0001  1.63026626041116E+0000  1.13463822627618E+0000
 1.20000000000000E+0001  2.13554615253518E-0001  1.16890202265495E+0000
 1.20000000000000E+0001 -1.27399261216201E+0000  1.20761907295190E+0000
 1.20000000000000E+0001 -2.83591720094831E+0000  1.25491850330892E+0000
 1.20000000000000E+0001 -4.47593801917393E+0000  1.31337590295157E+0000
 1.20000000000000E+0001 -6.19795987831083E+0000  1.38178604796397E+0000
 1.20000000000000E+0001 -8.00608283040457E+0000  1.45621678116290E+0000
 1.20000000000000E+0001 -9.90461193010300E+0000  1.53306833122425E+0000
 1.20000000000000E+0001 -1.18980674847863E+0001  1.61039630923521E+0000
 1.20000000000000E+0001 -1.39911958172038E+0001  1.68651574990816E+0000
 1.20000000000000E+0001 -1.61889805662423E+0001  1.75719474918495E+0000
 1.20000000000000E+0001 -1.84966545527326E+0001  1.81384652052129E+0000
 1.20000000000000E+0001 -2.09197122385474E+0001  1.84580277240431E+0000
 1.35000000000000E+0001  1.16000000000000E+0001  6.92015192255835E-0001
 1.35000000000000E+0001  1.06895746525341E+0001  7.64143291054442E-0001
 1.35000000000000E+0001  9.73362803769507E+0000  8.59109036294895E-0001
 1.35000000000000E+0001  8.72988409211400E+0000  9.31702861315048E-0001
 1.35000000000000E+0001  7.67595294925388E+0000  9.74595559724639E-0001
 1.35000000000000E+0001  6.56932524925076E+0000  1.00273775585331E+0000
 1.35000000000000E+0001  5.40736616424747E+0000  1.02921582900551E+0000
 1.35000000000000E+0001  4.18730912499403E+0000  1.05909948865101E+0000
 1.35000000000000E+0001  2.90624923377791E+0000  1.09185953143766E+0000
 1.35000000000000E+0001  1.56113634800099E+0000  1.12570185894803E+0000
 1.35000000000000E+0001  1.48767817935216E-0001  1.16093962306396E+0000
 1.35000000000000E+0001 -1.33421913863384E+0000  1.20060773233361E+0000
 1.35000000000000E+0001 -2.89135544303135E+0000  1.24883710221724E+0000
 1.35000000000000E+0001 -4.52634856264874E+0000  1.30810462745036E+0000
 1.35000000000000E+0001 -6.24309133824700E+0000  1.37715220990469E+0000
 1.35000000000000E+0001 -8.04567125262517E+0000  1.45206367500394E+0000
 1.35000000000000E+0001 -9.93838016272225E+0000  1.52927161185276E+0000
 1.35000000000000E+0001 -1.19257245183241E+0001  1.60685406106166E+0000
 1.35000000000000E+0001 -1.40124360917062E+0001  1.68313932085699E+0000
 1.35000000000000E+0001 -1.62034832437573E+0001  1.75390900170798E+0000
 1.35000000000000E+0001 -1.85040827534110E+0001  1.81059716967793E+0000
 1.35000000000000E+0001 -2.09197122385474E+0001  1.84256190451132E+0000
